sgf,sample_source,side,player,fox_rank,actual_rank_text,actual_rank_value,actual_group,model_rank_value,model_group,metric_rank_reassigned,metric_reassignment_method,metric_adjusted_rank_value,metric_adjusted_group,metric_nearest_rank_value,metric_nearest_group,metric_cluster_id,metric_cluster_k,metric_cluster_collection_class,metric_cluster_rank_median,metric_cluster_group,metric_cluster_distance,metric_cluster_second_distance,metric_cluster_margin,metric_cluster_radius_p90,metric_cluster_distance_ratio,metric_cluster_reassigned,twelve_d_style_rule_hit,twelve_d_style_rule_reassigned,metric_original_rank_distance,metric_nearest_rank_distance,metric_reassignment_margin,metric_reassignment_reason,strength,estimated_rank_value,estimated_group,numeric_error,samples,max_visits,quality_score,first_choice_rate,top3_rate,top5_rate,outside_top5_rate,average_ai_rank,excellent_rate,great_rate,good_move_rate,inaccuracy_rate,match_rate,mistake_rate,average_difficulty,weighted_point_loss,average_score_loss,average_score_equivalent_loss,median_score_loss,p75_score_equivalent_loss,p90_score_equivalent_loss,p95_score_equivalent_loss,max_score_equivalent_loss,loss_stddev,average_winrate_loss,bad_move_rate,blunder_rate,opening_samples,middlegame_samples,endgame_samples,opening_weighted_loss,middlegame_weighted_loss,endgame_weighted_loss,opening_good_move_rate,middlegame_good_move_rate,endgame_good_move_rate,robust_metric_distance,statistical_outlier,nearest_metric_group,actual_metric_distance,nearest_metric_distance,rank_mismatch_candidate,residual_core_four_outlier,residual_core_four_metric,residual_core_four_direction,residual_core_four_robust_z,residual_core_four_abs_robust_z,residual_core_four_value,residual_core_four_class_median
2022-08-13_154950_悲伤花裤衩_vs_七七wink_1660376990030021592.sgf,fox_dan,B,悲伤花裤衩,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,7,high_dan,6,12,7d-fox,7.0,high_dan,2.756,2.946,0.191,2.791,0.987,False,False,False,0.723,0.53,0.193,,5-6d,5.5,mid_dan,0.5,60,48,78.743,0.5667,0.8,0.8333,0.1667,2.867,0.6167,0.0667,0.7833,0.1,0.6958,0.1167,45.5,2.091,1.184,1.184,0.0,0.713,4.241,7.26,11.907,2.552,0.871,0.2167,0.0167,30,30,0,2.896,1.703,2.091,0.8333,0.7333,0.7833,1.251,False,high_dan,0.76,0.527,False,False,,,,,,
2022-08-13_154950_悲伤花裤衩_vs_七七wink_1660376990030021592.sgf,fox_dan,W,七七wink,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,4,mid_dan,3,12,4d-fox,4.0,mid_dan,3.966,4.064,0.098,7.196,0.551,False,False,False,0.899,0.868,0.031,,3-4d,3.5,low_dan,-1.5,59,48,68.817,0.4407,0.6271,0.7288,0.2712,3.847,0.5932,0.0678,0.661,0.2203,0.5839,0.1186,34.9,3.751,1.808,1.808,0.056,1.93,4.801,11.104,19.527,3.798,2.026,0.339,0.0678,30,29,0,5.039,2.848,3.751,0.6333,0.6897,0.661,1.042,False,mid_dan,0.894,0.894,False,False,,,,,,
2024-02-15_201931_V500149747_vs_ynt2021_1707999571030022147.sgf,fox_dan,B,V500149747,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,2.567,2.749,0.181,7.433,0.345,False,False,False,0.587,0.563,0.024,,1-2k,-1.5,kyu_level,-2.5,60,48,58.659,0.3,0.4333,0.5,0.5,5.767,0.35,0.0667,0.5333,0.25,0.4533,0.2167,44.9,3.482,2.108,2.108,1.006,3.122,6.597,7.829,8.701,2.544,7.732,0.4667,0.0,30,30,0,2.139,4.14,3.482,0.6667,0.4,0.5333,0.365,False,low_dan,0.594,0.594,False,False,,,,,,
2024-02-15_201931_V500149747_vs_ynt2021_1707999571030022147.sgf,fox_dan,W,ynt2021,6段,6段,6,mid_dan,6,mid_dan,False,,6,mid_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,1.765,1.865,0.1,7.433,0.237,False,False,False,0.724,0.388,0.336,,1-2k,-1.5,kyu_level,-7.5,60,48,66.44,0.25,0.55,0.6,0.4,5.05,0.35,0.05,0.6,0.2167,0.4642,0.1833,48.2,2.954,1.97,1.97,0.934,1.936,7.37,7.845,10.55,2.698,7.06,0.4,0.0167,30,30,0,1.652,3.749,2.954,0.7,0.5,0.6,0.625,False,low_dan,0.518,0.464,False,False,,,,,,
2024-02-15_202950_V195206069_vs_V500149747_1708000190030011745.sgf,fox_dan,B,V195206069,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,2.763,2.851,0.088,7.433,0.372,False,False,False,0.718,0.604,0.114,,1-2k,-1.5,kyu_level,-6.5,90,48,59.59,0.2444,0.4222,0.5,0.5,5.767,0.3444,0.0667,0.5556,0.3778,0.4533,0.0667,35.8,2.547,1.55,1.55,1.012,1.945,3.461,4.172,25.314,2.93,3.265,0.4444,0.0111,30,50,10,1.364,2.785,2.997,0.8,0.42,0.5,0.94,False,low_dan,0.693,0.679,False,False,,,,,,
2024-02-15_202950_V195206069_vs_V500149747_1708000190030011745.sgf,fox_dan,W,V500149747,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,2.241,2.415,0.174,7.433,0.301,False,False,False,0.564,0.472,0.092,,3-5k,-4.0,kyu_level,-5.0,90,48,47.708,0.2333,0.4111,0.5556,0.4444,5.456,0.3667,0.0889,0.5222,0.3778,0.43,0.1,27.9,2.834,1.727,1.727,0.912,2.542,4.011,4.817,15.879,2.467,3.731,0.4778,0.0222,30,50,10,1.439,3.268,3.131,0.7,0.44,0.4,0.654,False,low_dan,0.534,0.534,False,False,,,,,,
2024-02-15_212733_monkey21_vs_V500149747_1708003653030001358.sgf,fox_dan,B,monkey21,4段,4段,4,mid_dan,4,mid_dan,False,,4,mid_dan,3,low_dan,3,12,4d-fox,4.0,mid_dan,2.583,2.603,0.02,7.196,0.359,False,False,False,0.581,0.552,0.029,,3-5k,-4.0,kyu_level,-8.0,90,48,48.255,0.2889,0.4778,0.5,0.5,5.667,0.3778,0.0889,0.5444,0.3,0.4594,0.1556,27.9,3.146,1.791,1.791,0.92,3.034,4.79,5.35,9.079,2.108,9.845,0.4556,0.0,30,50,10,2.531,3.366,2.731,0.7667,0.4,0.6,0.892,False,mid_dan,0.626,0.626,False,False,,,,,,
2024-02-15_212733_monkey21_vs_V500149747_1708003653030001358.sgf,fox_dan,W,V500149747,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,2.92,3.055,0.135,7.439,0.393,False,False,False,0.615,0.615,0.0,,6-10k,-8.0,kyu_level,-9.0,90,48,39.49,0.2,0.3333,0.4,0.6,6.711,0.2778,0.0667,0.4778,0.3222,0.385,0.2,29.5,3.47,2.196,2.196,1.309,3.347,5.136,6.035,19.619,2.719,10.563,0.5222,0.0111,30,50,10,2.088,3.496,5.443,0.7667,0.3,0.5,0.809,False,low_dan,0.675,0.675,False,False,,,,,,
2024-02-15_214335_V500149747_vs_恋情挽人_1708004615030044087.sgf,fox_dan,B,V500149747,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,2.901,2.976,0.075,7.433,0.39,False,False,False,0.758,0.571,0.187,,1-2k,-1.5,kyu_level,-2.5,62,48,53.246,0.2581,0.3548,0.4032,0.5968,6.435,0.4194,0.1129,0.5806,0.3226,0.4677,0.0968,26.4,2.812,1.519,1.519,0.572,2.599,3.952,4.554,14.235,2.258,4.346,0.4194,0.0161,30,32,0,1.202,3.247,2.812,0.8333,0.3438,0.5806,0.828,False,mid_dan,0.698,0.603,False,False,,,,,,
2024-02-15_214335_V500149747_vs_恋情挽人_1708004615030044087.sgf,fox_dan,W,恋情挽人,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,8,high_dan,6,12,7d-fox,7.0,high_dan,1.534,2.028,0.494,2.791,0.55,False,False,False,1.341,0.343,0.998,,3-4d,3.5,low_dan,2.5,62,48,73.594,0.4032,0.5806,0.6613,0.3387,4.371,0.5484,0.0968,0.7742,0.1935,0.6266,0.0323,19.5,1.373,0.675,0.675,0.065,1.127,2.017,2.381,4.657,1.008,3.629,0.2258,0.0,30,32,0,1.802,1.198,1.373,0.8333,0.7188,0.7742,1.358,False,high_dan,1.236,0.355,False,False,,,,,,
